Country Name,Series Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,Electricity production from hydroelectric sources (% of total),,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Electricity production from hydroelectric sources (% of total),96.17444529,96.32021922,97.32915822,96.14901632,95.30831099,93.95398609,97.85657051,97.5026757,98.71394452,98.31643736,97.48251748,100,99.98077662,99.98678647,98.59222143,100,100,100,100,,,,,,
Algeria,Electricity production from hydroelectric sources (% of total),0.348885891,0.924254148,0.819970109,0.212498032,0.25915493,0.206163194,0.896148253,0.8032,1.636444051,0.618861069,0.607592214,0.703350234,0.794784551,0.380460926,0.980009371,1.083680332,0.551010185,0.395379969,0.210761941,,,,,,
American Samoa,Electricity production from hydroelectric sources (% of total),,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,Electricity production from hydroelectric sources (% of total),,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Electricity production from hydroelectric sources (% of total),76.35253054,80.42488619,66.96629213,63.11418685,62.08791209,64.7592068,62.20551378,78.40501792,79.64824121,80.61101028,77.6188996,75.40904716,65.34318902,67.95742338,70.90780393,60.7994842,58.02093476,53.17510549,53.17492831,,,,,,
Antigua and Barbuda,Electricity production from hydroelectric sources (% of total),,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Electricity production from hydroelectric sources (% of total),38.749343,35.717181,26.58481116,32.36306377,41.08417023,42.44964655,36.74128002,30.38985674,32.23402944,35.51076552,28.27072569,25.01315746,27.7774588,26.81318506,30.64258423,27.23204082,29.36913099,29.60793966,26.24157509,,,,,,
Armenia,Electricity production from hydroelectric sources (% of total),23.05523304,24.82636085,20.99002974,21.16482041,16.84943429,30.04167422,36.02981276,33.13432836,28.06712047,30.71873422,31.41742964,31.14384749,35.60218656,39.37759975,33.49932705,28.89497262,28.18417639,25.70322581,28.28567765,,,,,,
Aruba,Electricity production from hydroelectric sources (% of total),,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Electricity production from hydroelectric sources (% of total),9.042765842,7.887949379,7.957196246,7.795524721,7.385459167,6.982645639,7.377621427,7.0591947,6.704270255,6.843211144,5.901333037,4.899351224,4.757048711,5.344130837,6.599266661,5.585644424,7.279435624,7.405826056,5.296183545,,,,,,
Austria,Electricity production from hydroelectric sources (% of total),64.83792763,66.4693257,67.92676414,69.87340081,66.24690913,66.26527856,57.17162676,59.3433202,57.52322173,57.24560897,58.79254264,59.39964977,61.66837566,56.47098655,54.98940134,63.75345656,65.13245546,66.55738769,59.99708563,,,,,,
