Country Name,Series Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Albania,"Electricity production from oil, gas and coal sources (% of total)",3.825554705,3.679780779,2.670841776,3.850983675,4.691689008,6.046013911,2.143429487,2.497324295,1.286055484,1.683562636,2.517482517,0,0.019223376,0.013213531,1.407778573,0,0,0,0,,,,,,
Algeria,"Electricity production from oil, gas and coal sources (% of total)",99.65111411,99.07574585,99.18002989,99.78750197,99.74084507,99.79383681,99.10385175,99.1968,98.36355595,99.38113893,99.39240779,99.29664977,99.20521545,99.61953907,99.01999063,98.91631967,99.44898981,99.60462003,99.6773162,,,,,,
American Samoa,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Angola,"Electricity production from oil, gas and coal sources (% of total)",23.64746946,19.57511381,33.03370787,36.88581315,37.91208791,35.2407932,37.79448622,21.59498208,20.35175879,19.38898972,22.3811004,24.59095284,34.65681098,32.04257662,29.09219607,39.2005158,41.97906524,46.82489451,46.82507169,,,,,,
Antigua and Barbuda,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,"Electricity production from oil, gas and coal sources (% of total)",49.60164873,53.53996649,63.87463184,59.89315038,50.33679188,49.54353309,53.82701293,60.50915989,59.95961741,55.67564027,63.43899828,67.62853196,64.37880888,65.68978868,62.776427,66.02372684,64.05254605,64.25706881,66.93502211,,,,,,
Armenia,"Electricity production from oil, gas and coal sources (% of total)",50.29026373,49.50734938,42.66223544,45.1829473,48.56396867,28.61025548,27.64951827,30.36484245,28.93778692,24.84430231,25.24584605,26.16984402,20.34914477,22.15375135,32.16689098,42.29716277,41.15434501,42.43870968,35.91486088,,,,,,
Aruba,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"Electricity production from oil, gas and coal sources (% of total)",90.41232427,91.56594998,91.45594641,91.61838143,91.90154505,92.13908118,91.55930113,91.81334981,91.19629336,90.70069223,91.35192753,91.88474244,92.50206574,91.38812037,89.57334772,89.40734664,86.73589161,85.09328779,86.36215891,,,,,,
Austria,"Electricity production from oil, gas and coal sources (% of total)",31.81108018,30.01967448,29.04399493,27.21047533,30.45343639,30.590057,38.79202024,35.32317428,35.90801247,33.81177151,30.61007537,30.02680965,27.91784788,32.86866665,33.38097379,24.30213943,20.83501162,17.72104648,22.22204232,,,,,,
Azerbaijan,"Electricity production from oil, gas and coal sources (% of total)",89.83131385,89.15990666,91.71434859,91.79635275,93.14180285,89.19843859,88.40082683,87.32983812,86.84417629,89.74045553,89.17929235,89.68719678,87.75704897,81.57669695,86.8138366,92.07847573,93.04187719,94.01892591,92.59154245,,,,,,
"Bahamas, The","Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,"Electricity production from oil, gas and coal sources (% of total)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,
Bangladesh,"Electricity production from oil, gas and coal sources (% of total)",93.9365829,93.28520416,94.23529412,95.25077674,94.29047838,95.98714171,96.20028409,96.96552283,97.16792075,97.46368223,97.5842606,97.22368344,98.87833876,98.21279725,98.02504926,98.39998353,98.05346386,98.68027576,98.7731101,,,,,,
Barbados,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,"Electricity production from oil, gas and coal sources (% of total)",99.91940745,99.88081049,99.92834515,99.89655569,99.88030164,99.87526459,99.87982123,99.87824415,99.86757534,99.8679702,99.81777624,99.76318192,99.58519884,99.52142141,99.48136646,99.27595052,98.98117879,99.09601267,98.92905346,,,,,,
Belgium,"Electricity production from oil, gas and coal sources (% of total)",37.55538716,42.04203472,39.33737975,39.63128073,38.42377064,38.91819766,40.95690573,41.0584093,40.93152411,39.85275288,39.44794809,38.62866851,39.80469011,40.2640862,35.02258072,35.95153208,31.93612774,33.47738525,39.21464312,,,,,,
Belize,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Benin,"Electricity production from oil, gas and coal sources (% of total)",96.61016949,97.46835443,97.22222222,97.61904762,96.96969697,96.82539683,97.5,98.7654321,99.06542056,97.4025974,98.63636364,98.68995633,99.21875,99.13043478,100,100,100,100,94.44444444,,,,,,
Bermuda,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,"Electricity production from oil, gas and coal sources (% of total)",53.54262673,56.7115903,52.64107189,48.47938144,45.15075377,46.05640535,52.88550323,51.29338934,58.74183007,58.13207547,58.30136031,58.62128245,60.51298807,66.04692342,65.8033241,67.6935126,67.82393056,71.99314677,68.59756098,,,,,,
