Country Name,Series Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Albania,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Algeria,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111921858,,,,,,
American Samoa,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Angola,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Antigua and Barbuda,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0.637638662,0.67286386,0.709607665,0.796310876,0.74571381,1.114229216,1.210474845,1.244945839,1.291105402,1.61693288,1.57147512,1.330548337,1.149943815,1.772271142,1.663386207,2.029094502,2.115359726,1.968264539,1.898494036,,,,,,
Armenia,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0.0508647,0.034662045,0.070534297,0.107841627,0.040376851,0.049776008,0.051880674,0.051612903,0.051288627,,,,,,
Aruba,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0.544909885,0.546100636,0.586857342,0.586093851,0.712995786,0.878273184,1.063077439,1.127455491,2.099436384,2.456096628,2.74673943,3.215906333,2.740885548,3.267748792,3.827385618,5.007008936,5.984672764,7.500886153,8.34165755,,,,,,
Austria,"Electricity production from renewable sources, excluding hydroelectric (% of total)",3.078028194,3.341083885,2.752186394,2.670608277,2.909918614,2.747669094,3.611201955,4.858913928,6.103555755,8.269916193,9.894486315,9.831238668,9.471319139,9.740336209,10.6420221,10.77572406,12.89233153,14.49948065,16.49369364,,,,,,
Azerbaijan,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0.010599958,0.005344735,0,0,0.295452599,0.372047881,0.409105638,,,,,,
"Bahamas, The","Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Bangladesh,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263554217,0.26680992,0.267746691,,,,,,
Barbados,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0.003204101,0.00322987,0.0094307,0.047126834,0.097009815,0.200816434,0.243587907,0.298136646,0.327932725,0.406258927,0.374262271,0.501731119,,,,,,
Belgium,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0.363468232,0.450807189,0.61056066,0.705544078,0.806431097,0.961217707,1.130910353,1.398883264,2.121130803,3.074168919,3.538296317,4.79523348,5.691156493,6.588300491,9.190689105,12.3754916,13.74689645,16.67226092,20.34278484,,,,,,
Belize,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Benin,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,2.597402597,1.363636364,1.310043668,0.78125,0.869565217,0,0,0,0,1.461988304,,,,,,
Bermuda,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,"Electricity production from renewable sources, excluding hydroelectric (% of total)",1.382488479,1.347708895,1.339860861,1.391752577,1.35678392,1.290630975,1.246537396,1.193897855,1.14379085,1.132075472,1.255667946,1.667526216,1.976801176,1.755939206,1.689750693,1.605534526,0.743955363,2.295830954,2.521106942,,,,,,
Bosnia and Herzegovina,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Botswana,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108342362,0.043233895,0.033704078,,,,,,
Brazil,"Electricity production from renewable sources, excluding hydroelectric (% of total)",2.397218019,2.334124843,2.500029876,2.248717434,2.744225407,2.973926074,3.281284738,3.235747304,3.395255475,3.567536373,4.194120145,4.46026169,5.114551801,6.528807841,6.570482382,7.29012855,8.225762394,9.857089889,12.11841445,,,,,,
British Virgin Islands,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053691275,0.050890585,0.045433894,0.044385264,0.047619048,,,,,,
Bulgaria,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0.002413943,0.011370872,0.043954112,0.109462701,0.309528082,0.585167882,1.588543364,2.035063871,4.510616372,6.605679259,5.930487779,6.374379385,,,,,,
Burkina Faso,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0.223214286,0.196463654,0.137362637,1.048492792,1.717791411,1.556016598,1.441899915,1.206434316,1.282051282,1.658767773,2.3,2.169811321,1.60390516,0.787401575,0.653167864,0.932453946,,,,,,
Cameroon,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,12.59302781,1.449551783,1.355395177,1.227736469,1.00016952,1.03023138,1.354497354,1.234119782,1.170351105,1.124593075,,,,,,
Canada,"Electricity production from renewable sources, excluding hydroelectric (% of total)",1.211122734,1.313987918,1.460760521,1.400933956,1.516836787,1.57329687,1.677064569,1.627699566,1.704527142,1.802686356,1.820680834,1.736760642,2.380565739,3.212355264,3.298015784,3.507259079,4.409954227,5.57037556,6.267257059,,,,,,
Cayman Islands,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Chad,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Electricity production from renewable sources, excluding hydroelectric (% of total)",5.234705829,3.269593624,2.630893462,2.347921553,4.878794291,4.467495592,3.873668026,3.979846899,3.423900617,2.599421547,4.623220359,5.227455447,7.168736208,4.267465334,7.625583979,7.545411535,8.653938274,10.1305089,11.92645947,,,,,,
China,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0.258740298,0.245310493,0.244449875,0.234116031,0.225125916,0.209592277,0.190500614,0.178624753,0.297304582,0.387166019,0.476782488,0.8595734,1.292334096,1.673852403,2.137640198,2.657514988,3.564878351,4.056659804,4.857004208,,,,,,
Colombia,"Electricity production from renewable sources, excluding hydroelectric (% of total)",1.082838247,1.184934405,1.067208444,1.150144928,1.141752221,1.09009369,1.06357835,1.04386653,1.096608856,1.102948015,1.052078806,1.056526869,1.048137325,4.133010232,3.343988198,3.221149219,3.032048144,3.132176121,3.277453381,,,,,,
Comoros,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.","Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223331582,0.217970453,0.101809955,0.111831805,,,,,,
"Congo, Rep.","Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Costa Rica,"Electricity production from renewable sources, excluding hydroelectric (% of total)",11.26358938,12.65472012,14.71349951,16.99667582,17.5982209,19.04318937,17.09378774,18.08886184,17.22760291,17.97171438,17.22651934,14.89339244,17.56176155,17.53104456,18.65337673,20.74896796,21.37762579,24.04815504,24.38956715,,,,,,
Cote d'Ivoire,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,1.941923775,1.936278824,1.980548187,2.042266027,2.034482759,1.226366888,1.156747695,1.049352353,0.940706956,0.888888889,0.844798455,1.205372518,,,,,,
Croatia,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0.009768487,0.07857517,0.069353472,0.008878629,0,0,0,0.043174786,0.183809451,0.232144239,0.342766042,0.477270949,0.590875093,1.162476345,2.276769833,4.012083451,4.682010468,6.921702888,9.957287774,,,,,,
Cuba,"Electricity production from renewable sources, excluding hydroelectric (% of total)",6.150148452,5.506078598,6.079216119,6.279936136,6.078828682,5.981272693,4.554079696,5.046693105,2.737583105,2.465237719,2.360417612,3.190225691,3.073192737,2.684370869,2.668918919,3.109398741,3.68861024,3.480326345,3.711553628,,,,,,
Curacao,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0,0,0,0,0,0,0,0,0.022846699,0.021496131,0.061588996,0.295333727,0.594439118,1.371664788,3.611280179,5.448378206,7.622377622,7.287356322,8.780057357,,,,,,
Czechia,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0.769266705,0.90833127,1.05519101,0.721427494,0.704528922,0.665833279,0.598918083,0.861678005,0.917845504,1.159538097,1.505172964,2.049342698,2.725646805,3.648959115,6.090393657,6.847624211,7.644637708,8.535066278,9.231867919,,,,,,
Denmark,"Electricity production from renewable sources, excluding hydroelectric (% of total)",6.566625296,9.481186,11.17163412,15.37181372,15.42049882,17.19907348,17.44468021,23.48897022,27.00711803,20.12233891,26.1394852,27.50163863,27.60629965,31.9283619,40.2055125,48.27204326,45.92291972,55.85384042,65.44374201,,,,,,
Djibouti,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
